id,x,y,z,timestamp
1,0.980665,10.395049,1.96133,2022-03-25 09:42:53
2,0.980665,10.4342756,1.96133,2022-03-25 09:42:53
3,0.980665,10.4342756,2.0005566,2022-03-25 09:42:53
4,0.9414384,10.4342756,1.96133,2022-03-25 09:42:54
5,0.980665,10.4342756,1.96133,2022-03-25 09:42:54
6,0.980665,10.4342756,1.96133,2022-03-25 09:42:54
7,1.0198916,10.4342756,2.0005566,2022-03-25 09:42:54
8,0.980665,10.4735022,2.0397832,2022-03-25 09:42:54
9,0.980665,10.4342756,2.0005566,2022-03-25 09:42:54
10,0.980665,10.4342756,2.0005566,2022-03-25 09:42:54
11,0.980665,10.4342756,2.0005566,2022-03-25 09:42:54
12,0.980665,10.4342756,1.9221034,2022-03-25 09:42:54
13,1.0198916,10.395049,1.96133,2022-03-25 09:42:55
14,1.0198916,10.395049,1.96133,2022-03-25 09:42:55
15,0.980665,10.395049,1.9221034,2022-03-25 09:42:55
16,1.0198916,10.4342756,1.96133,2022-03-25 09:42:55
17,0.980665,10.395049,2.0005566,2022-03-25 09:42:55
18,1.0198916,10.4342756,1.96133,2022-03-25 09:42:55
19,0.980665,10.4342756,2.0005566,2022-03-25 09:42:55
20,0.9414384,10.4735022,2.0005566,2022-03-25 09:42:55
21,1.0198916,10.4342756,2.0397832,2022-03-25 09:42:55
22,0.980665,10.395049,2.0005566,2022-03-25 09:42:56
23,0.980665,10.395049,2.0005566,2022-03-25 09:42:56
24,0.9414384,10.4342756,2.0397832,2022-03-25 09:42:56
25,1.0198916,10.3558224,2.0397832,2022-03-25 09:42:56
26,0.980665,10.4342756,2.0005566,2022-03-25 09:42:56
27,0.980665,10.4342756,2.0005566,2022-03-25 09:42:56
28,0.980665,10.4342756,2.0005566,2022-03-25 09:42:56
29,0.980665,10.395049,2.0005566,2022-03-25 09:42:56
30,0.980665,10.4342756,2.0005566,2022-03-25 09:42:56
31,0.9414384,10.395049,2.0397832,2022-03-25 09:42:57
32,0.9414384,10.395049,1.96133,2022-03-25 09:42:57
33,0.980665,10.4735022,1.96133,2022-03-25 09:42:57
34,0.980665,10.4342756,1.9221034,2022-03-25 09:42:57
35,1.0198916,10.395049,1.96133,2022-03-25 09:42:57
36,1.0198916,10.4342756,2.0005566,2022-03-25 09:42:57
37,1.0198916,10.4342756,2.0397832,2022-03-25 09:42:57
38,1.0198916,10.4342756,1.9221034,2022-03-25 09:42:57
39,1.0591182,10.395049,1.96133,2022-03-25 09:42:57
40,0.980665,10.395049,1.9221034,2022-03-25 09:42:58
41,1.0198916,10.4342756,2.0397832,2022-03-25 09:42:58
42,0.980665,10.395049,2.0397832,2022-03-25 09:42:58
43,0.980665,10.395049,1.96133,2022-03-25 09:42:58
44,0.980665,10.395049,2.0397832,2022-03-25 09:42:58
45,0.9414384,10.395049,1.96133,2022-03-25 09:42:58
46,0.980665,10.4342756,1.96133,2022-03-25 09:42:58
47,0.980665,10.4342756,2.0005566,2022-03-25 09:42:58
48,1.0591182,10.3558224,1.96133,2022-03-25 09:42:58
49,0.980665,10.4342756,1.96133,2022-03-25 09:42:59
50,0.9414384,10.4735022,2.0005566,2022-03-25 09:42:59
51,0.980665,10.395049,1.9221034,2022-03-25 09:42:59
52,0.980665,10.4342756,2.0790097999999997,2022-03-25 09:42:59
53,1.0198916,10.395049,2.0005566,2022-03-25 09:42:59
54,0.9414384,10.395049,2.0005566,2022-03-25 09:42:59
55,1.0198916,10.395049,2.0005566,2022-03-25 09:42:59
56,0.9414384,10.395049,2.0397832,2022-03-25 09:42:59
57,0.8237586,10.591182,1.96133,2022-03-25 09:43:00
58,0.980665,10.395049,2.0005566,2022-03-25 09:43:00
59,0.9414384,10.3558224,1.8828768,2022-03-25 09:43:00
60,0.9414384,10.3558224,2.0397832,2022-03-25 09:43:00
61,0.980665,10.5127288,2.0005566,2022-03-25 09:43:00
62,1.0983448,10.277369199999999,1.8828768,2022-03-25 09:43:00
63,0.980665,10.277369199999999,1.96133,2022-03-25 09:43:00
64,0.9414384,10.4342756,1.96133,2022-03-25 09:43:00
65,0.9022117999999999,10.395049,2.0005566,2022-03-25 09:43:00
66,0.980665,10.4735022,1.9221034,2022-03-25 09:43:01
67,1.0591182,10.4342756,2.0005566,2022-03-25 09:43:01
68,0.9414384,10.5519554,1.96133,2022-03-25 09:43:01
69,0.8237586,10.4342756,2.0005566,2022-03-25 09:43:01
70,1.0198916,10.5127288,2.0790097999999997,2022-03-25 09:43:01
71,0.9414384,10.4735022,2.0005566,2022-03-25 09:43:01
72,0.980665,10.5127288,1.96133,2022-03-25 09:43:01
73,1.0198916,10.395049,1.9221034,2022-03-25 09:43:01
74,0.9414384,10.4342756,2.0397832,2022-03-25 09:43:01
75,0.9022117999999999,10.4735022,1.96133,2022-03-25 09:43:02
76,0.9414384,10.3558224,1.96133,2022-03-25 09:43:02
77,0.980665,10.4342756,1.96133,2022-03-25 09:43:02
78,1.0198916,10.3165958,2.0790097999999997,2022-03-25 09:43:02
79,1.2160246,10.4735022,2.0397832,2022-03-25 09:43:02
80,1.2160246,10.1596894,2.0790097999999997,2022-03-25 09:43:02
81,0.9414384,10.3558224,1.8828768,2022-03-25 09:43:02
82,0.9414384,10.4735022,1.8436502,2022-03-25 09:43:02
83,1.1767979999999998,10.4342756,2.0397832,2022-03-25 09:43:02
84,0.980665,10.4735022,2.0005566,2022-03-25 09:43:03
85,0.784532,10.4342756,1.9221034,2022-03-25 09:43:03
86,0.6668522,10.6696352,1.96133,2022-03-25 09:43:03
87,1.1375714,10.0812362,2.1966896,2022-03-25 09:43:03
88,1.0591182,10.1596894,2.0397832,2022-03-25 09:43:03
89,1.0983448,10.3558224,1.8828768,2022-03-25 09:43:03
90,0.980665,10.3165958,1.9221034,2022-03-25 09:43:03
91,0.8629851999999999,10.3165958,2.1182364,2022-03-25 09:43:03
