"[0.1176798, 1.6082906, 0.6276256, -0.3530394, 1.0198916, 0.196133, 0.0784532, 1.0591182, 0.3138128, 0.5099458, 0.2745862, 0.5099458, 0.5491724, 0.2353596, 0.3530394, 0.588399, 0.2745862, 0.0784532, 0.0784532, 0.7060788]","[-10.8657682, -10.591182, -9.1790244, -10.2773692, -10.0420096, -9.8458766, -10.0812362, -10.5519554, -10.9442214, -9.9635564, -9.6889702, -9.9635564, -10.1596894, -10.1204628, -10.8265416, -11.1403544, -9.7674234, -9.9243298, -10.2773692, -11.4933938]","[1.6475172, 1.4121576, 2.1182364, 1.96133, 2.2359162, 1.6082906, 1.5298374, 2.2359162, 2.4320492, 1.176798, 1.2160246, 2.745862, 2.353596, 0.980665, 2.353596, 1.6867438, 1.7259704, 2.2359162, 1.8044236, 1.8436502]",7
"[0.3530394, 0.196133, 0.4314926, 1.0198916, 0.6276256, -0.0392266, 0.0784532, -0.2353596, 0.4707192, 0.1176798, -0.5099458, 0.6276256, 1.0591182, -0.196133, 0.7453054, 1.4906108, 1.0983448, -0.6668522, 0.196133, 1.372931]","[-9.2967042, -9.6497436, -10.9442214, -10.2773692, -8.8652116, -8.8652116, -11.0226746, -9.6889702, -10.6696352, -10.3558224, -9.8851032, -10.6696352, -10.1204628, -10.3558224, -10.3165958, -10.5127288, -9.6497436, -11.179581, -11.179581, -9.9635564]","[2.0397832, 1.96133, 1.4906108, 1.569064, 2.2751428, 2.3928226, 2.4712758, 2.6281822, 1.9221034, 2.7850886, 2.7850886, 0.1176798, 1.569064, 3.4911674, 2.353596, 1.4121576, 1.2552512, 2.941995, 2.3928226, 0.9022118]",7
"[-0.0784532, 0.2353596, 1.4121576, 0.8237586, 0.2353596, 0.0, 0.8237586, 0.6276256, 0.588399, 0.4314926, 2.3928226, 0.9414384, -0.3138128, 0.196133, 0.8629852, 0.980665, -0.0392266, -0.6668522, 1.2552512, 0.5099458]","[-10.7480884, -9.8458766, -8.7475318, -10.2381426, -10.5519554, -10.787315, -9.7281968, -10.002783, -10.1204628, -9.414384, -10.5127288, -9.2574776, -10.1596894, -10.3165958, -10.395049, -10.198916, -10.3558224, -9.1790244, -11.2972608, -9.8851032]","[3.5696206, 2.5105024, 1.8044236, 1.6082906, 2.3143694, 2.941995, 2.0397832, 1.5298374, 1.7259704, 1.4906108, 2.353596, 2.3928226, 2.157463, 1.765197, 1.765197, 1.765197, 2.2359162, 1.8436502, 1.2944778, 2.3143694]",7
"[-0.3138128, 0.0, 1.6082906, 1.0591182, -0.4707192, 0.392266, 0.8237586, 0.784532, 0.5099458, 0.784532, 0.2745862, 0.5099458, 0.4707192, 0.392266, -0.1176798, 0.980665, 0.2353596, 1.4121576, 0.3530394, -0.392266]","[-10.591182, -10.6696352, -10.787315, -10.002783, -9.8458766, -10.5127288, -10.787315, -11.1403544, -10.395049, -9.6889702, -10.395049, -9.8458766, -10.8657682, -11.3364874, -10.7088618, -6.5900688, -10.7480884, -9.3359308, -9.5712904, -10.6696352]","[1.96133, 2.0790098, 1.6867438, 1.7259704, 1.8436502, 2.3928226, 0.2353596, 2.2359162, 2.157463, 1.9221034, 2.0005566, 1.765197, 2.1182364, 1.7259704, 2.2751428, 3.0204482, 1.8044236, 2.157463, 2.157463, 2.157463]",7
"[0.4314926, 0.9414384, 0.1569064, -0.0392266, 1.0983448, 1.4906108, 0.9022118, 0.588399, -0.1176798, 1.4121576, 1.0198916, -0.2353596, -0.392266, 1.3337044, 1.0591182, 0.1569064, -0.2353596, 1.4121576, 1.4121576, -0.2745862]","[-10.3558224, -9.9243298, -8.8652116, -10.0812362, -12.0817928, -8.8652116, -10.9049948, -10.9049948, -11.4933938, -10.1204628, -10.3165958, -10.395049, -11.2188076, -11.2580342, -9.610517, -11.0619012, -10.9049948, -10.3558224, -9.5320638, -10.4735022]","[2.4320492, 1.3337044, 2.4320492, 2.0397832, 2.157463, 1.8044236, 1.8828768, 2.3143694, 2.2359162, 0.9022118, 0.980665, 2.8635418, 2.4320492, 0.1569064, 1.372931, 2.2751428, 1.7259704, 1.5298374, 0.588399, 2.6674088]",7
"[1.2944778, 1.8828768, 0.7453054, 0.1176798, 0.4707192, 1.2160246, -0.1569064, -0.3530394, 1.176798, 1.2944778, 0.1176798, -2.3928226, 2.3143694, 1.1375714, -0.5099458, 0.3138128, 1.3337044, 0.2745862, -0.196133, 0.0784532]","[-9.6889702, -10.4735022, -6.864655, -11.4933938, -10.2381426, -9.6889702, -11.375714, -10.983448, -9.5712904, -9.414384, -10.395049, -10.9442214, -10.002783, -8.9044382, -10.5519554, -9.7674234, -10.5127288, -9.8851032, -10.3165958, -9.9635564]","[2.941995, 1.0983448, 0.9414384, 2.0397832, 2.157463, 1.2160246, 1.96133, 2.7850886, 1.8436502, 1.8828768, 2.2359162, 2.8243152, 1.2944778, 2.4320492, 2.0397832, 1.8044236, 1.5298374, 2.0005566, 2.157463, 1.8436502]",7
"[2.3143694, 0.1176798, 0.0392266, 0.2745862, 1.0591182, 1.2944778, -0.0392266, 0.6276256, 0.7060788, 0.8237586, 0.8629852, 0.1176798, 0.784532, 0.0392266, 0.5491724, 0.4314926, 0.8629852, 0.1176798, 0.4707192, 0.8629852]","[-9.9635564, -10.002783, -9.8458766, -10.787315, -10.198916, -11.1011278, -9.8458766, -10.8265416, -10.7088618, -9.6889702, -10.3558224, -11.1011278, -10.395049, -9.8458766, -10.591182, -10.198916, -10.7480884, -10.395049, -10.4342756, -10.3558224]","[1.4513842, 1.8436502, 1.8436502, 2.0397832, 2.1966896, 1.2552512, 1.8828768, 2.0790098, 1.8044236, 2.4712758, 2.3928226, 1.372931, 1.8044236, 2.4320492, 2.0397832, 1.6475172, 1.0591182, 2.2751428, 1.569064, 1.7259704]",7
"[0.2745862, 0.784532, -0.0392266, 1.2944778, 0.8629852, 0.0784532, -0.0392266, 1.1375714, 0.392266, 0.6668522, 0.6668522, 0.6276256, 0.9414384, -0.3138128, 1.1375714, 1.6082906, 1.3337044, -0.588399, 1.176798, 1.3337044]","[-10.9049948, -11.2972608, -11.964113, -9.022118, -10.3165958, -11.0226746, -12.3956056, -11.1011278, -10.1596894, -11.1011278, -9.610517, -10.9049948, -10.3165958, -10.1596894, -10.2773692, -10.8657682, -9.1397978, -10.3165958, -10.6304086, -11.5326204]","[2.2359162, 1.8828768, 1.6082906, 1.9221034, 1.6867438, 1.8044236, 1.3337044, 1.569064, 1.765197, 1.96133, 1.96133, 1.8828768, 1.4121576, 2.8635418, 2.157463, 1.4121576, 0.392266, 2.941995, 1.4906108, 1.96133]",7
"[0.0392266, 0.0, 0.6276256, 1.176798, 0.4707192, -0.7453054, 2.6674088, 1.2160246, 0.0392266, -0.2745862, 1.3337044, 1.5298374, 0.0, -0.3138128, 2.8243152, 0.5099458, -0.2745862, -0.6276256, 1.2552512, 1.7259704]","[-10.5519554, -9.4536106, -9.8458766, -11.2972608, -9.2574776, -13.0624578, -9.4536106, -9.1005712, -10.5519554, -11.3364874, -9.7674234, -9.9243298, -10.7480884, -11.3364874, -8.2768126, -10.9049948, -11.1403544, -10.7480884, -9.9635564, -8.5121722]","[2.1182364, 2.1182364, 1.4906108, 1.4906108, 2.353596, 2.157463, 0.3138128, 2.1182364, 2.4320492, 2.0397832, 1.0198916, 0.588399, 2.1182364, 2.0397832, -0.2353596, 2.353596, 1.9221034, 1.96133, 1.2552512, 2.3928226]",7
"[-0.5491724, 0.196133, 1.1375714, 1.8436502, -0.392266, 0.3530394, 1.4513842, 1.1375714, -0.5099458, 0.4707192, 0.8237586, 0.9022118, 0.392266, 0.0784532, 0.6668522, 0.3530394, 0.392266, 1.2552512, 0.2353596, 0.5099458]","[-9.8851032, -10.002783, -10.6696352, -8.7475318, -9.4536106, -11.2188076, -10.395049, -9.7281968, -10.198916, -10.8265416, -10.2773692, -11.0226746, -11.179581, -10.8657682, -10.395049, -10.591182, -10.1204628, -9.9635564, -10.591182, -9.8458766]","[2.1182364, 1.4513842, 1.6082906, 2.1182364, 2.3143694, 2.1182364, 1.6867438, 1.9221034, 2.0790098, 2.2359162, 1.765197, 1.2552512, 2.7850886, 0.6668522, 0.9022118, 2.1966896, 2.353596, 1.8436502, 1.9221034, 1.96133]",7
"[0.8237586, 0.0, -0.3138128, 0.0392266, 0.392266, 1.2160246, 1.2160246, -0.1569064, 0.4314926, 0.8237586, 0.3138128, -0.8237586, 0.2745862, 1.176798, 1.0198916, -0.5099458, 0.9414384, 1.4906108, 0.392266, -1.4906108]","[-10.0812362, -11.4541672, -11.0226746, -11.0619012, -11.2188076, -9.7674234, -9.1790244, -11.1403544, -9.7281968, -10.198916, -7.1392412, -11.0619012, -10.2773692, -10.3165958, -10.002783, -10.8265416, -10.198916, -10.9442214, -10.3558224, -9.8851032]","[2.5105024, 0.392266, 2.5105024, 2.4712758, 1.6082906, 1.7259704, 1.4513842, 2.1182364, 2.0397832, 1.569064, 2.353596, 2.157463, 2.0005566, 1.1375714, 1.4121576, 3.1773546, 2.8243152, 0.8629852, 1.4906108, 4.707192]",7
